SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00001,Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,True,1.0
SESSION00002,Undergraduate,Psychology,2024-08-25,13.09,6,Studying,3,Assignment Completed,True,2.0
SESSION00003,Undergraduate,Business,2025-01-12,19.22,5,Coding,3,Assignment Completed,True,3.3
SESSION00004,Undergraduate,Computer Science,2025-05-06,3.7,1,Coding,3,Assignment Completed,True,3.5
SESSION00005,Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,True,2.9
SESSION00006,Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,True,5.0
SESSION00007,High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,False,1.9
SESSION00008,Undergraduate,Biology,2024-12-26,9.2,3,Writing,5,Assignment Completed,True,3.9
SESSION00009,Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,True,3.3
SESSION00010,Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,False,1.4
SESSION00011,High School,Math,2025-02-24,24.52,6,Writing,2,Assignment Completed,False,1.9
SESSION00012,Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,False,3.9
SESSION00013,Undergraduate,History,2024-07-05,15.47,6,Studying,5,Idea Drafted,True,4.9
SESSION00014,Undergraduate,Business,2024-11-03,24.13,5,Writing,4,Idea Drafted,True,3.7
SESSION00015,High School,Computer Science,2025-05-21,22.51,8,Writing,3,Assignment Completed,True,4.9
SESSION00016,High School,Psychology,2024-11-22,22.16,6,Coding,2,Idea Drafted,True,2.8
SESSION00017,Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,True,5.0
SESSION00018,High School,Biology,2025-04-13,18.36,4,Studying,2,Confused,False,1.2
SESSION00019,Undergraduate,Math,2024-12-08,18.26,4,Studying,5,Assignment Completed,False,4.9
SESSION00020,High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,True,3.5
SESSION00021,Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,True,4.4
SESSION00022,Undergraduate,Business,2025-01-09,11.11,2,Homework Help,5,Assignment Completed,False,4.9
SESSION00023,Undergraduate,Biology,2025-04-21,19.87,8,Studying,2,Idea Drafted,True,3.1
SESSION00024,Undergraduate,Math,2025-05-05,17.65,4,Coding,3,Gave Up,False,3.6
SESSION00025,Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,True,4.3
SESSION00026,Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,True,3.2
SESSION00027,Undergraduate,History,2024-08-28,6.42,2,Homework Help,4,Idea Drafted,True,4.0
SESSION00028,High School,Math,2024-09-05,27.55,7,Writing,3,Confused,True,3.5
SESSION00029,Undergraduate,Psychology,2025-02-20,27.28,6,Studying,2,Confused,False,3.4
SESSION00030,Undergraduate,Engineering,2025-02-26,5.03,2,Studying,3,Confused,False,2.5
SESSION00031,High School,Biology,2024-12-28,23.79,6,Studying,3,Gave Up,False,2.4
SESSION00032,Undergraduate,Computer Science,2025-04-20,19.04,7,Studying,3,Idea Drafted,False,3.3
SESSION00033,High School,Psychology,2025-02-06,22.89,10,Coding,3,Idea Drafted,True,2.6
SESSION00034,Undergraduate,Business,2025-04-10,10.59,4,Writing,3,Gave Up,False,3.9
SESSION00035,Undergraduate,Math,2025-03-21,25.1,7,Coding,4,Confused,True,4.3
SESSION00036,Undergraduate,Biology,2024-07-19,5.76,1,Writing,1,Confused,True,1.2
SESSION00037,Undergraduate,Engineering,2025-04-09,33.79,8,Writing,2,Assignment Completed,False,1.6
SESSION00038,Undergraduate,Psychology,2024-09-20,13.64,5,Writing,2,Assignment Completed,True,2.6
SESSION00039,High School,Biology,2025-05-14,2.48,1,Studying,2,Idea Drafted,True,2.2
SESSION00040,Graduate,Engineering,2025-03-06,11.77,3,Coding,4,Assignment Completed,True,4.4
SESSION00041,Undergraduate,Computer Science,2025-06-21,33.29,15,Writing,2,Idea Drafted,True,1.7
SESSION00042,Undergraduate,Biology,2025-06-13,20.27,6,Studying,3,Confused,False,3.4
SESSION00043,High School,History,2025-04-23,33.63,7,Homework Help,4,Assignment Completed,True,5.0
SESSION00044,Undergraduate,Psychology,2025-01-01,4.54,1,Writing,5,Confused,False,4.6
SESSION00045,Undergraduate,Biology,2025-01-26,15.08,3,Writing,4,Assignment Completed,True,4.8
SESSION00046,High School,Math,2025-04-19,27.97,6,Writing,3,Assignment Completed,True,1.4
SESSION00047,High School,Engineering,2024-12-18,46.11,12,Homework Help,4,Assignment Completed,True,3.4
SESSION00048,Undergraduate,Biology,2024-11-21,13.25,4,Research,2,Confused,False,1.4
SESSION00049,Graduate,Engineering,2024-10-27,16.9,6,Studying,3,Assignment Completed,True,3.7
SESSION00050,Graduate,History,2025-02-28,28.49,5,Writing,5,Assignment Completed,True,5.0
SESSION00051,Undergraduate,Psychology,2024-11-14,13.43,3,Studying,2,Idea Drafted,True,2.3
SESSION00052,Graduate,Business,2024-09-09,22.72,11,Studying,2,Assignment Completed,True,1.0
SESSION00053,Undergraduate,Computer Science,2025-06-08,7.98,1,Research,4,Idea Drafted,True,4.2
SESSION00054,High School,Biology,2024-07-10,15.52,3,Writing,5,Assignment Completed,True,5.0
SESSION00055,Undergraduate,Psychology,2024-07-08,6.98,2,Coding,2,Idea Drafted,True,2.8
SESSION00056,Undergraduate,Engineering,2024-12-16,6.25,2,Coding,4,Assignment Completed,True,5.0
SESSION00057,High School,Engineering,2024-09-05,58.92,19,Homework Help,4,Assignment Completed,True,3.9
SESSION00058,Undergraduate,Biology,2024-06-25,9.56,4,Coding,3,Assignment Completed,True,4.9
SESSION00059,High School,Business,2025-01-31,31.58,9,Studying,4,Idea Drafted,True,4.6
SESSION00060,Graduate,Psychology,2024-11-09,2.38,1,Studying,5,Assignment Completed,False,4.5
SESSION00061,Undergraduate,Computer Science,2024-06-30,17.72,6,Homework Help,2,Assignment Completed,True,3.1
SESSION00062,Undergraduate,Math,2025-03-09,14.78,7,Coding,3,Assignment Completed,False,2.5
SESSION00063,Undergraduate,Computer Science,2025-06-21,10.6,2,Coding,2,Assignment Completed,True,1.7
SESSION00064,Undergraduate,Business,2024-11-15,5.47,1,Homework Help,4,Assignment Completed,True,3.9
SESSION00065,High School,Psychology,2025-03-02,12.2,2,Brainstorming,4,Idea Drafted,True,4.4
SESSION00066,Undergraduate,Biology,2024-11-02,8.89,3,Coding,3,Assignment Completed,True,2.7
SESSION00067,Undergraduate,Computer Science,2024-12-02,6.84,1,Studying,3,Idea Drafted,True,2.5
SESSION00068,Undergraduate,Business,2025-04-11,12.79,2,Coding,3,Assignment Completed,True,3.8
SESSION00069,Undergraduate,History,2025-05-15,41.2,12,Studying,3,Idea Drafted,True,3.1
SESSION00070,Graduate,Computer Science,2024-06-26,16.56,6,Homework Help,2,Assignment Completed,True,3.0
SESSION00071,Undergraduate,Engineering,2024-10-24,10.4,3,Studying,4,Idea Drafted,True,5.0
SESSION00072,Undergraduate,Business,2025-05-24,11.04,5,Coding,3,Confused,False,2.3
SESSION00073,Undergraduate,Math,2024-12-20,5.3,1,Coding,3,Assignment Completed,True,2.3
SESSION00074,High School,Engineering,2024-07-27,14.02,4,Studying,4,Confused,False,4.4
SESSION00075,High School,Psychology,2024-08-15,49.67,10,Writing,5,Assignment Completed,False,5.0
SESSION00076,Graduate,Biology,2025-05-17,13.4,3,Studying,4,Assignment Completed,True,5.0
SESSION00077,Undergraduate,Engineering,2024-07-31,26.8,8,Writing,3,Idea Drafted,True,2.5
SESSION00078,Undergraduate,History,2025-02-09,7.29,1,Coding,5,Assignment Completed,True,5.0
SESSION00079,Graduate,Business,2025-01-12,48.37,20,Homework Help,3,Assignment Completed,True,3.2
SESSION00080,Undergraduate,History,2025-01-28,37.05,13,Coding,2,Idea Drafted,True,1.8
SESSION00081,Undergraduate,History,2025-04-17,15.94,6,Homework Help,3,Assignment Completed,False,4.3
SESSION00082,Undergraduate,Computer Science,2024-08-08,16.4,4,Studying,4,Assignment Completed,True,4.2
SESSION00083,Undergraduate,Math,2025-02-09,19.56,7,Brainstorming,5,Confused,False,5.0
SESSION00084,Graduate,Business,2024-08-15,11.48,2,Homework Help,3,Idea Drafted,True,2.5
SESSION00085,Undergraduate,Business,2024-12-24,16.28,3,Writing,2,Idea Drafted,False,1.5
SESSION00086,High School,Math,2025-01-01,7.34,2,Writing,2,Confused,False,2.6
SESSION00087,Graduate,Business,2025-01-24,16.32,3,Coding,5,Assignment Completed,True,4.2
SESSION00088,High School,Business,2025-01-24,14.88,5,Homework Help,3,Assignment Completed,True,4.1
SESSION00089,Undergraduate,History,2025-04-01,14.59,4,Homework Help,3,Assignment Completed,True,3.5
SESSION00090,Undergraduate,Business,2025-04-15,4.65,1,Studying,4,Confused,False,3.1
SESSION00091,Undergraduate,Computer Science,2024-11-03,24.83,8,Writing,3,Assignment Completed,True,3.4
SESSION00092,Undergraduate,Biology,2024-08-09,10.39,2,Writing,5,Assignment Completed,False,5.0
SESSION00093,Undergraduate,Math,2025-02-21,35.49,16,Homework Help,5,Confused,True,5.0
SESSION00094,Graduate,History,2025-05-04,12.9,3,Homework Help,2,Confused,True,1.0
SESSION00095,High School,Business,2024-07-06,9.77,2,Homework Help,2,Assignment Completed,True,2.0
SESSION00096,Graduate,Biology,2025-04-25,11.12,4,Writing,4,Gave Up,False,3.9
SESSION00097,High School,History,2025-05-14,30.82,14,Homework Help,4,Assignment Completed,True,2.3
SESSION00098,Undergraduate,Engineering,2025-02-26,27.26,7,Homework Help,3,Gave Up,True,2.8
SESSION00099,Undergraduate,Math,2024-10-25,11.17,3,Studying,4,Idea Drafted,True,2.7
SESSION00100,Graduate,Psychology,2024-09-27,4.68,1,Studying,3,Confused,False,2.8
